id;name;image;code;colors;brand_id;repair_category_id;status;sort_order
1;1B (2022);https://fdn2.gsmarena.com/vv/bigpic/alcatel-1b-2022.jpg;;Prime Black, Atlantic Blue;4;1;;
2;1L Pro (2021);https://fdn2.gsmarena.com/vv/bigpic/alcatel-1l-pro-2021.jpg;;Power Grey, Twilight Blue;4;1;;
3;1 (2021);https://fdn2.gsmarena.com/vv/bigpic/alcatel-1-2021.jpg;;Volcano Black, AI Aqua;4;1;;
4;3L (2021);https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2021.jpg;;Jewelry Blue, Jewelry Black;4;1;;
5;1S (2021);https://fdn2.gsmarena.com/vv/bigpic/alcatel-1s-2021.jpg;;Elegant Black, Twilight Blue;4;1;;
6;1L (2021);https://fdn2.gsmarena.com/vv/bigpic/alcatel-1l-2021.jpg;;Power Grey, Twilight Blue;4;1;;
7;1V (2021);https://fdn2.gsmarena.com/vv/bigpic/alcatel-1v-2021.jpg;;Space Gray, Atlantic Blue;4;1;;
8;1SE (2020);https://fdn2.gsmarena.com/vv/bigpic/alcatel-1-se-2020.jpg;;Agate Greeen, Power Gray;4;1;;
9;Go Flip 4;https://fdn2.gsmarena.com/vv/bigpic/alcatel-go-flip-4.jpg;;Midnight Blue;4;1;;
10;Go Flip 3;https://fdn2.gsmarena.com/vv/bigpic/alcatel-go-flip3.jpg;;Prime Black;4;1;;
11;Go Flip V;https://fdn2.gsmarena.com/vv/bigpic/alcatel-go-flipv.jpg;;;4;1;;
12;3T10 2020;https://fdn2.gsmarena.com/vv/bigpic/alcatel-3t10-2020.jpg;;;4;2;;
13;3X (2020);https://fdn2.gsmarena.com/vv/bigpic/alcatel-3x-2020.jpg;;;4;1;;
14;3L (2020);https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2020-.jpg;;;4;1;;
15;1S (2020);https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2020-.jpg;;;4;1;;
16;1V (2020);https://fdn2.gsmarena.com/vv/bigpic/alcatel-a3l-2020-.jpg;;;4;1;;
17;1B (2020);https://fdn2.gsmarena.com/vv/bigpic/alcatel-1b-2020.jpg;;;4;1;;
18;3v (2019);https://fdn2.gsmarena.com/vv/bigpic/alcatel-3v-2019.jpg;;;4;1;;
19;3x (2019);https://fdn2.gsmarena.com/vv/bigpic/alcatel-3x-2019.jpg;;;4;1;;
20;1v (2019);https://fdn2.gsmarena.com/vv/bigpic/alcatel-1v-2019.jpg;;;4;1;;
21;3T 8;https://fdn2.gsmarena.com/vv/bigpic/alcatel-3t-8.jpg;;;4;2;;
22;Smart Tab 7;https://fdn2.gsmarena.com/vv/bigpic/alcatel-smart-tab-7-2019.jpg;;;4;2;;
23;3T 10;https://fdn2.gsmarena.com/vv/bigpic/alcatel-3t-10-2019.jpg;;;4;2;;
24;3L;https://fdn2.gsmarena.com/vv/bigpic/alcatel-3l.jpg;;;4;1;;
