id;name;image;code;colors;brand_id;repair_category_id;status;sort_order
1;iPhone 15 Pro Max;https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-15-pro-max.jpg;;Black Titanium, White Titanium, Blue Titanium, Natural Titanium;1;1;;
2;iPhone 15 Pro;https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-15-pro.jpg;;Black Titanium, White Titanium, Blue Titanium, Natural Titanium;1;1;;
3;iPhone 15 Plus;https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-15-plus-.jpg;;Black, Blue, Green, Yellow, Pink;1;1;;
4;iPhone 15;https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-15.jpg;;Black, Blue, Green, Yellow, Pink;1;1;;
5;Watch Ultra 2;https://fdn2.gsmarena.com/vv/bigpic/apple-watch-ultra2.jpg;;Titanium;1;3;;
6;Watch Series 9;https://fdn2.gsmarena.com/vv/bigpic/apple-watch-series9.jpg;;Graphite, Silver, Gold;1;3;;
7;Watch Series 9 Aluminum;https://fdn2.gsmarena.com/vv/bigpic/apple-watch-series9-aluminum.jpg;;Midnight, Starlight, Silver, Pink, Red;1;3;;
8;iPad Pro 12.9 (2022);https://fdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-129-2022.jpg;;Silver, Space Gray;1;2;;
9;iPad Pro 11 (2022);https://fdn2.gsmarena.com/vv/bigpic/apple-ipad-pro-11-2022.jpg;;Silver, Space Gray;1;2;;
10;iPad (2022);https://fdn2.gsmarena.com/vv/bigpic/apple-ipad-10-2022.jpg;;Silver, Blue, Pink, Yellow;1;2;;
11;iPhone 14 Pro Max;https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-14-pro-max-.jpg;;Space Black, Silver, Gold, Deep Purple;1;1;;
12;iPhone 14 Pro;https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-14-pro.jpg;;Space Black, Silver, Gold, Deep Purple;1;1;;
13;iPhone 14 Plus;https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-14-plus.jpg;;Midnight, Purple, Starlight, Blue, Red, Yellow;1;1;;
14;iPhone 14;https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-14.jpg;;Midnight, Purple, Starlight, Blue, Red, Yellow;1;1;;
15;Watch Ultra;https://fdn2.gsmarena.com/vv/bigpic/apple-watch-ultra.jpg;;Titanium;1;3;;
16;Watch Series 8;https://fdn2.gsmarena.com/vv/bigpic/apple-watch-8.jpg;;Graphite, Silver, Gold;1;3;;
17;Watch Series 8 Aluminum;https://fdn2.gsmarena.com/vv/bigpic/apple-watch-8-aluminum.jpg;;Midnight, Starlight, Silver, Red;1;3;;
18;Watch SE (2022);https://fdn2.gsmarena.com/vv/bigpic/apple-watch-8se-2022.jpg;;Midnight, Starlight, Silver;1;3;;
19;iPhone SE (2022);https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-se-2022.jpg;;Midnight, Starlight, Red;1;1;;
20;iPad Air (2022);https://fdn2.gsmarena.com/vv/bigpic/apple-ipad-air-2022-new.jpg;;Space Gray, Starlight, Pink, Purple, Blue;1;2;;
21;iPhone 13 Pro Max;https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-13-pro-max.jpg;;Graphite, Gold, Silver, Sierra Blue, Alpine Green;1;1;;
22;iPhone 13 Pro;https://fdn2.gsmarena.com/vv/bigpic/apple-iphone-13-pro.jpg;;Graphite, Gold, Silver, Sierra Blue, Alpine Green;1;1;;
