id;name;image;code;colors;brand_id;repair_category_id;status;sort_order
1;Zenfone 10;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone10.jpg;;Starry Blue, Midnight Black, Aurora Green, Eclipse Red, Comet White;5;1;;
2;ROG Phone 7 Ultimate;https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-7-ultimate.jpg;;Storm White;5;1;;
3;ROG Phone 7;https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-7.jpg;;Phantom Black, Storm White;5;1;;
4;ROG Phone 6D Ultimate;https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-6d-ultimate.jpg;;Space Gray;5;1;;
5;ROG Phone 6D;https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-6d.jpg;;Space Gray;5;1;;
6;ROG Phone 6 Diablo Immortal Edition;https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-6-diablo-immortal-edition.jpg;;Hellfire Red;5;1;;
7;ROG Phone 6 Batman Edition;https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-6-batman.jpg;;Night Black;5;1;;
8;Zenfone 9;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-9-new.jpg;;Starry Blue, Moonlight White, Sunset Red, Midnight Black;5;1;;
9;ROG Phone 6 Pro;https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone6-pro.jpg;;Storm White;5;1;;
10;ROG Phone 6;https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone6.jpg;;Phantom Black, Storm White;5;1;;
11;ROG Phone 5s Pro;https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-5s-pro.jpg;;Matte White;5;1;;
12;ROG Phone 5s;https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-5s.jpg;;Phantom Black, Storm White;5;1;;
13;Smartphone for Snapdragon Insiders;https://fdn2.gsmarena.com/vv/bigpic/asus-smartphone-for-snapdragon-insiders.jpg;;Midnight blue;5;1;;
14;Zenfone 8 Flip;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-8-flip.jpg;;Galactic Black, Glacier Silver;5;1;;
15;Zenfone 8;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-8.jpg;;Obsidian Black, Horizon Silver;5;1;;
16;ROG Phone 5 Ultimate;https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-5-ultimate.jpg;;;5;1;;
17;ROG Phone 5 Pro;https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-5-pro.jpg;;;5;1;;
18;ROG Phone 5;https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-5.jpg;;;5;1;;
19;Zenfone 7 Pro;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone7-pro-zs670ks-zs671ks-b.jpg;;;5;1;;
20;Zenfone 7;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone7-pro-zs670ks-zs671ks.jpg;;;5;1;;
21;ROG Phone 3;https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone-3-zs661ks.jpg;;;5;1;;
22;ROG Phone 3 Strix;https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone3-strix.jpg;;;5;1;;
23;ROG Phone II ZS660KL;https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone2.jpg;;;5;1;;
24;Zenfone 6 ZS630KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-6-zs630kl.jpg;;;5;1;;
25;ZenFone Live (L2);https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-live-l2.jpg;;;5;1;;
26;Zenfone Max Plus (M2) ZB634KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-plus-m2.jpg;;Red, Silver, Blue, Black;5;1;;
27;Zenfone Max Shot ZB634KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-shot.jpg;;Red, Silver, Blue, Black;5;1;;
28;Zenfone Max Pro (M2) ZB631KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-pro-m2r1.jpg;;Blue, Titanium;5;1;;
29;Zenfone Max (M2) ZB633KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-m2-zb633kl-r.jpg;;Black, Blue;5;1;;
30;Zenfone Max (M1) ZB556KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-m1-zb556kl.jpg;;Deepsea Black, Sunlight Gold;5;1;;
31;ZenFone Lite (L1) ZA551KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-lite-l1-za551kl.jpg;;Black, Gold;5;1;;
32;ROG Phone ZS600KL;https://fdn2.gsmarena.com/vv/bigpic/asus-rog-phone.jpg;;Black;5;1;;
33;ZenFone Live (L1) ZA550KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-live-l1-za550kl-.jpg;;Space Blue, Rose Pink, Shimmer Gold, Midnight Black;5;1;;
34;Zenfone Max Pro (M1) ZB601KL/ZB602K;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-pro-m1-zb601kl-.jpg;;Meteor Silver, Deepsea Black;5;1;;
35;Zenfone 5z ZS620KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-5-ze620kl-5z-zs620kl.jpg;;Midnight Blue, Meteor Silver;5;1;;
36;Zenfone 5 ZE620KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-5-ze620kl-5z-zs620kl.jpg;;Midnight Blue, Meteor Silver;5;1;;
37;Zenfone 5 Lite ZC600KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-5-lite-r.jpg;;Midnight Black, Moonlight White, Rouge Red;5;1;;
38;Zenfone Max (M1) ZB555KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-m1-zb555kl.jpg;;Deepsea Black, Sunlight Gold, Ruby Red;5;1;;
39;Zenfone Max Plus (M1) ZB570TL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-m1.jpg;;Sunlight Gold, Azure Silver, Deepsea Black;5;1;;
40;Zenfone V V520KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-v-v520kl.jpg;;Sapphire Black;5;1;;
41;Zenfone 4 Pro ZS551KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-4-pro-zs551kl.jpg;;Moonlight white, Pure Black;5;1;;
42;Zenfone 4 ZE554KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-4-ze554kl.jpg;;Moonlight white, Mint Green, Midnight Black;5;1;;
43;Zenfone 4 Selfie Lite ZB553KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-4-selfie-zb553kl.jpg;;Deepsea Black, Mint Green, Rose Pink, Sunlight Gold;5;1;;
44;Zenfone 4 Selfie ZB553KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-4-selfie-zb553kl.jpg;;Deepsea Black, Rose Pink, Sunlight Gold;5;1;;
45;Zenfone 4 Selfie Pro ZD552KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-4-selfie-pro-zd552kl.jpg;;Rouge Red, Sunlight Gold, Deepsea Black;5;1;;
46;Zenfone 4 Selfie ZD553KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-4-selfie-zd553kl.jpg;;Deepsea Black, Mint Green, Rose Pink, Sunlight Gold;5;1;;
47;Zenfone 4 Max ZC520KL;https://fdn2.gsmarena.com/vv/bigpic/asus-ZC520KL.jpg;;Black, Gold, Silver;5;1;;
48;Zenfone 4 Max Pro ZC554KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-4-max-zc554kl.jpg;;Deepsea Black, Sunlight Gold, Rose Pink;5;1;;
49;Zenfone 4 Max Plus ZC554KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-4-max-zc554kl.jpg;;Deepsea Black, Sunlight Gold, Rose Pink;5;1;;
50;Zenfone 4 Max ZC554KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-4-max-zc554kl.jpg;;Titanium Gray, Rose Pink, Sand Gold, Deepsea Black;5;1;;
51;Zenpad Z8s ZT582KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenpad-z8s-zt582kl.jpg;;Black;5;2;;
52;Zenpad 3s 8.0 Z582KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenpad-3-80-z581kl-.jpg;;Black;5;2;;
53;Zenfone Go ZB552KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-go-zb551kl.jpg;;Charcoal Black, Pearl White, Glamor Red, Sheer Gold, Glacier Gray, Silver Blue;5;1;;
54;Zenfone Live ZB501KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-live-zb501kl.jpg;;Shimmer Gold/Rose, Pink/Navy Black;5;1;;
55;Zenfone 3s Max ZC521TL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-3s-max-zc-521tl.jpg;;Gold, Black;5;1;;
56;Zenpad 3S 10 Z500KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenpad-3s.jpg;;Silver, Grey;5;2;;
57;Zenfone AR ZS571KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-ar-.jpg;;Black;5;1;;
58;Zenfone 3 Zoom ZE553KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-3-zoom-ze553kl.jpg;;Navy Black, Glacier Silver, Rose Gold;5;1;;
59;Zenfone Go ZB690KG;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-go-zb690kg.jpg;;Glacier Grey, Pearl White;5;1;;
60;Zenpad 3 8.0 Z581KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenpad-3-80-z581kl-.jpg;;Black;5;2;;
61;Zenfone Go ZB500KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-go-zb500kl.jpg;;Glacier Gray, Sheer Gold, Silver Blue, Glamour Red, Charcoal Black, Pearl White;5;1;;
62;Zenfone 3 Max ZC553KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-3-max-zc553kl.jpg;;Titanium Gray, Glacier Silver, Rose Pink, Sand Gold;5;1;;
63;Zenfone 3 Deluxe 5.5 ZS550KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-3-deluxe-55-inch.jpg;;Shimmer Gold;5;1;;
64;Zenpad Z10 ZT500KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenpad-z10-zt500kl.jpg;;Gray;5;2;;
65;Zenwatch 3 WI503Q;https://fdn2.gsmarena.com/vv/bigpic/asus-zenwatch-3.jpg;;Gunmetal, Silver, Rose gold;5;3;;
66;Zenpad 3S 10 Z500M;https://fdn2.gsmarena.com/vv/bigpic/asus-zenpad-3s.jpg;;Silver, Grey;5;2;;
67;Zenfone 3 Max ZC520TL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-3-max-zc520tl.jpg;;Titanium Grey, Glacier Silver, Sand Gold;5;1;;
68;Zenfone 3 Laser ZC551KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-3-laser-zc551kl.jpg;;Sand Gold, Glacier Silver;5;1;;
69;Zenfone 3 ZE520KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-3-ZE520KL-1.jpg;;Sapphire Black, Moonlight White, Shimmer Gold;5;1;;
70;Zenfone Pegasus 3;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-pegasus-3.jpg;;Gold, silver, gray, rose gold;5;1;;
71;Zenpad Z8;https://fdn2.gsmarena.com/vv/bigpic/asus-zenpad-z8.jpg;;;5;2;;
72;Zenfone 3 Ultra ZU680KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-3-ultra-zu680kl.jpg;;;5;1;;
73;Zenfone 3 Deluxe ZS570KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-3-deluxe-zs570kl.jpg;;;5;1;;
74;Zenfone 3 ZE552KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-3-ze552kl.jpg;;;5;1;;
75;Zenfone Max ZC550KL (2016);https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-zc550kl-1.jpg;;;5;1;;
76;Zenfone Go ZB450KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-go-zb452kg.jpg;;Glacier Grey/Silver, Blue/Sheer Gold, Charcoal Black, Pearl White, Glamor Red, Lemon Yellow;5;1;;
77;Zenfone Go ZB452KG;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-go-zb452kg.jpg;;Lemon Yellow, Charcoal Black, Pearl White, Glacier Gray, Sheer Gold, Glamour Red, Silver Blue;5;1;;
78;Zenfone Go ZB551KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-go-zb551kl.jpg;;Charcoal Black, Pearl White, Lake Blue, Glacier Gray, Sheer Gold, Glamour Red, Floral Pink, Silver Blue;5;1;;
79;Zenfone Go T500;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-go-t500.jpg;;Black, White;5;1;;
80;Zenfone Go ZC451TG;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-go-zc451tg.jpg;;Charcoal Black, Pearl White, Rouge Pink, Flash Blue;5;1;;
81;Live G500TG;https://fdn2.gsmarena.com/vv/bigpic/asus-live-g500tg-.jpg;;Rosa, Azul, Yellow;5;1;;
82;Zenwatch 2 WI501Q;https://fdn2.gsmarena.com/vv/bigpic/asus-zenwatch-wi501q.jpg;;Gunmetal, Silver, Rose gold;5;3;;
83;Zenwatch 2 WI502Q;https://fdn2.gsmarena.com/vv/bigpic/asus-zenwatch-wi502q.jpg;;Gunmetal, Silver, Rose gold;5;3;;
84;Zenwatch WI500Q;https://fdn2.gsmarena.com/vv/bigpic/asus-zenwatch-wi500q.jpg;;Silver/Rose gold;5;3;;
85;Zenfone 2 Laser ZE551KL;https://fdn2.gsmarena.com/vv/bigpic/zenfone-2-laser-ze550kl.jpg;;Silver;5;1;;
86;Zenfone Zoom ZX551ML;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-zoom-zx551ml.jpg;;Pure Black, Ceramic White;5;1;;
87;Zenpad 8.0 Z380M;https://fdn2.gsmarena.com/vv/bigpic/asus-zenpad-80.jpg;;Dark Gray, Pearl White, Rose Gold;5;2;;
88;Zenpad 10 Z300M;https://fdn2.gsmarena.com/vv/bigpic/asus-zenpad-10-z300c.jpg;;Dark Gray, Pearl White, Rose Gold;5;2;;
89;Zenpad 10 Z300C;https://fdn2.gsmarena.com/vv/bigpic/asus-zenpad-10-z300c.jpg;;Black, White, Aurora Metallic;5;2;;
90;Zenfone Go ZC500TG;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-go-zc500tg.jpg;;Black, White, Red;5;1;;
91;Zenfone Max ZC550KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-max-zc550kl-1.jpg;;Black, White;5;1;;
92;Zenfone 2 Deluxe ZE551ML;https://fdn2.gsmarena.com/vv/bigpic/zenfone-2-deluxe-ze551ml.jpg;;White, Pink, PurpleSilver Polygon/Carbon Night (Black) - Special Edition;5;1;;
93;Zenfone 2 Laser ZE601KL;https://fdn2.gsmarena.com/vv/bigpic/asus-zenfone-2-laser-ze601kl.jpg;;Glacier Gray, Sheer Gold, Glamour Red;5;1;;
