id;name;image;code;colors;brand_id;repair_category_id;status;sort_order
1;Pixel Fold;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-fold.jpg;;Porcelain, Obsidian;8;1;;
2;Pixel Tablet;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-tablet-1.jpg;;Porcelain, Hazel, Rose;8;1;;
3;Pixel 7a;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-7a.jpg;;Charcoal, Snow, Sea, Coral;8;1;;
4;Pixel 7 Pro;https://fdn2.gsmarena.com/vv/bigpic/google-pixel7-pro-new.jpg;;Obsidian, Snow, Hazel;8;1;;
5;Pixel 7;https://fdn2.gsmarena.com/vv/bigpic/google-pixel7-new.jpg;;Obsidian, Lemongrass, Snow;8;1;;
6;Pixel Watch;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-watch-.jpg;;Matte Black, Polished Silver, Champagne Gold;8;1;;
7;Pixel 6a;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-6a.jpg;;Chalk, Charcoal, Sage;8;1;;
8;Pixel 6 Pro;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-6-pro.jpg;;Cloudy White, Sorta Sunny, Stormy Black;8;1;;
9;Pixel 6;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-6.jpg;;Sorta Seafoam, Kinda Coral, Stormy Black;8;1;;
10;Pixel 5a 5G;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-5a-5g.jpg;;Mostly Black;8;1;;
11;Pixel 5;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-5-5g.jpg;;Just Black, Sorta Sage;8;1;;
12;Pixel 4a 5G;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4a-5g.jpg;;Just Black, Clearly White;8;1;;
13;Pixel 4a;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4a.jpg;;Just Black, Barely Blue;8;1;;
14;Pixel 4 XL;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4-r1.jpg;;Clearly White, Just Black, Oh So Orange;8;1;;
15;Pixel 4;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-4-r1.jpg;;Clearly White, Just Black, Oh So Orange;8;1;;
16;Pixel 3a XL;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-3a-xl-.jpg;;Just Black, Clearly White, Purple-ish;8;1;;
17;Pixel 3a;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-3a.jpg;;Just Black, Clearly White, Purple-ish;8;1;;
18;Pixel 3 XL;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-3xl-.jpg;;Clearly White, Just Black, Not Pink;8;1;;
19;Pixel 3;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-3-.jpg;;Clearly White, Just Black, Not Pink;8;1;;
20;Pixel 2;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-2.jpg;;Kinda Blue, Just Black, Clearly White;8;1;;
21;Pixel 2 XL;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-xl2-.jpg;;Just Black, Black & White;8;1;;
22;Pixel XL;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-xl.jpg;;Quite Black, Very Silver, Really Blue;8;1;;
23;Pixel;https://fdn2.gsmarena.com/vv/bigpic/google-pixel.jpg;;Quite Black, Very Silver, Really Blue;8;1;;
24;Pixel C;https://fdn2.gsmarena.com/vv/bigpic/google-pixel-c--.jpg;;Silver Aluminum;8;2;;
