id;name;image;code;colors;brand_id;repair_category_id;status;sort_order
1;X6a;https://fdn2.gsmarena.com/vv/bigpic/honor-x6a.jpg;;Cyan Lake, Midnight Black;9;1;;
2;Magic V2;https://fdn2.gsmarena.com/vv/bigpic/honor-magic-2.jpg;;Black, Silk Black, Silk Purple, Gold;9;1;;
3;Watch 4;https://fdn2.gsmarena.com/vv/bigpic/honor-watch4.jpg;;Black, Gold;9;3;;
4;MagicPad 13;https://fdn2.gsmarena.com/vv/bigpic/honor-magicpad13.jpg;;Gray, Blue, Gold;9;2;;
5;Pad X9;https://fdn2.gsmarena.com/vv/bigpic/honor-pad-x9.jpg;;Space Gray;9;2;;
6;Pad X8 Pro;https://fdn2.gsmarena.com/vv/bigpic/honor-pad-x8-pro.jpg;;Gray, Purple, Mint;9;2;;
7;X50;https://fdn2.gsmarena.com/vv/bigpic/honor-x50-.jpg;;Black, Blue, Silver, Orange;9;1;;
8;Play 40;https://fdn2.gsmarena.com/vv/bigpic/honor-play40-.jpg;;Blue, Mint, Black, Purple;9;1;;
9;X50i;https://fdn2.gsmarena.com/vv/bigpic/honor-x50i.jpg;;Black, Blue, Pink, Light Blue;9;1;;
10;90 Lite;https://fdn2.gsmarena.com/vv/bigpic/honor-90-lite.jpg;;Titanium Silver, Cyan Lake, Midnight Black;9;1;;
11;90 Pro;https://fdn2.gsmarena.com/vv/bigpic/honor-90-pro.jpg;;Midnight Black, Emerald Green, Diamond Silver, Peacock Blue;9;1;;
12;90;https://fdn2.gsmarena.com/vv/bigpic/honor-90.jpg;;Midnight Black, Emerald Green, Diamond Silver, Peacock Blue;9;1;;
13;Pad V8;https://fdn2.gsmarena.com/vv/bigpic/honor-pad-v8.jpg;;Blue, Gold;9;2;;
14;Play7T Pro;https://fdn2.gsmarena.com/vv/bigpic/honor-play7t-pro.jpg;;Black, Dark Green, Silver;9;1;;
15;Play7T;https://fdn2.gsmarena.com/vv/bigpic/honor-play7t.jpg;;Black, Blue, Silver;9;1;;
16;70 Lite;https://fdn2.gsmarena.com/vv/bigpic/honor-70-lite.jpg;;Ocean Blue, Titanium Silver, Midnight Black;9;1;;
17;Magic5 Ultimate;https://fdn2.gsmarena.com/vv/bigpic/honor-magic5-ultimate.jpg;;Black, Orange;9;1;;
18;Magic5 Pro;https://fdn2.gsmarena.com/vv/bigpic/honor-magic5-pro.jpg;;Black, Meadow Green, Blue, Purple, Orange;9;1;;
19;Magic5;https://fdn2.gsmarena.com/vv/bigpic/honor-magic5-.jpg;;Black, Glacier Blue, Green, Purple, Orange;9;1;;
20;Magic5 Lite;https://fdn2.gsmarena.com/vv/bigpic/honor-magic5-lite.jpg;;Midnight Black, Emerald Green, Titanium Silver;9;1;;
21;X8a;https://fdn2.gsmarena.com/vv/bigpic/honor-x8a.jpg;;Cyan Lake, Titanium Silver, Midnight Black;9;1;;
22;X5;https://fdn2.gsmarena.com/vv/bigpic/honor-x5.jpg;;Sunrise Orange, Ocean Blue, Midnight Black;9;1;;
23;X9a;https://fdn2.gsmarena.com/vv/bigpic/honor-x9a.jpg;;Titanium Silver, Emerald Green, Midnight Black;9;1;;
24;X7a;https://fdn2.gsmarena.com/vv/bigpic/honor-x7a.jpg;;Titanium Silver, Ocean Blue, Midnight Black;9;1;;
25;80 Pro Flat;https://fdn2.gsmarena.com/vv/bigpic/honor-80-pro-flat.jpg;;Black, Green, Pink;9;1;;
26;80 GT;https://fdn2.gsmarena.com/vv/bigpic/honor-80-gt.jpg;;Black, Blue, White;9;1;;
27;Pad V8 Pro;https://fdn2.gsmarena.com/vv/bigpic/honor-pad-v8-pro.jpg;;Grey, Blue, Orange;9;2;;
28;80 Pro;https://fdn2.gsmarena.com/vv/bigpic/honor-80-pro.jpg;;Black, Green, Blue, Pink;9;1;;
29;80;https://fdn2.gsmarena.com/vv/bigpic/honor-80.jpg;;Black, Green, Blue, Pink;9;1;;
30;80 SE;https://fdn2.gsmarena.com/vv/bigpic/honor-80-se.jpg;;Black, Blue, Pink, Crystal Blue;9;1;;
31;Magic Vs Ultimate;https://fdn2.gsmarena.com/vv/bigpic/honor-magic-vs-ultimate.jpg;;Gold, Black;9;1;;
32;Magic Vs;https://fdn2.gsmarena.com/vv/bigpic/honor-magic-vs-.jpg;;Cyan, Black, Orange;9;1;;
33;Play 40 Plus;https://fdn2.gsmarena.com/vv/bigpic/Honor-play-40-plus.jpg;;Blue, Silver, Black, Purple;9;1;;
34;X40 GT;https://fdn2.gsmarena.com/vv/bigpic/honor-x40-gt.jpg;;Racing Black, Black, Silver;9;1;;
35;Play6C;https://fdn2.gsmarena.com/vv/bigpic/honor-play-6c.jpg;;Black, Blue, Silver;9;1;;
36;X6;https://fdn2.gsmarena.com/vv/bigpic/honor-x6.jpg;;Ocean Blue, Titanium Silver, Midnight Black;9;1;;
37;Pad X8;https://fdn2.gsmarena.com/vv/bigpic/honor-pad-x8.jpg;;Dark Blue, Light Blue;9;2;;
38;Pad X8 Lite;https://fdn2.gsmarena.com/vv/bigpic/honor-tab7.jpg;;Mint Blue;9;2;;
39;X40;https://fdn2.gsmarena.com/vv/bigpic/honor-x40.jpg;;Black, Green, Silver;9;1;;
40;X8 5G;https://fdn2.gsmarena.com/vv/bigpic/honor-x8-5g.jpg;;Midnight Black, Ocean Blue;9;1;;
41;Pad 8;https://fdn2.gsmarena.com/vv/bigpic/honor-tab8.jpg;;Dark Blue, Gold, Mint;9;2;;
