id;name;image;code;colors;brand_id;repair_category_id;status;sort_order
1;Wildfire E star;https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e-star.jpg;;Gray;10;1;;
2;U23;https://fdn2.gsmarena.com/vv/bigpic/htc-u23.jpg;;Aqua Blue, Roland Violet;10;1;;
3;U23 Pro;https://fdn2.gsmarena.com/vv/bigpic/htc-u23-pro.jpg;;Snow White, Coffee Black;10;1;;
4;A103 Plus;https://fdn2.gsmarena.com/vv/bigpic/htc-a103-plus.jpg;;Gray;10;2;;
5;A103;https://fdn2.gsmarena.com/vv/bigpic/htc-a103.jpg;;Gray, Silver;10;2;;
6;A102;https://fdn2.gsmarena.com/vv/bigpic/htc-a102.jpg;;Gray;10;2;;
7;A101;https://fdn2.gsmarena.com/vv/bigpic/htc-a101.jpg;;Gray, Silver;10;2;;
8;Wildfire E2 Play;https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e2-plus.jpg;;Black, Blue;10;1;;
9;Wildfire E3 lite;https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e3-lite.jpg;;Black, Blue;10;1;;
10;Wildfire E plus;https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e-plus.jpg;;Black;10;1;;
11;Desire 22 Pro;https://fdn2.gsmarena.com/vv/bigpic/htc-desire-22-pro.jpg;;Wave Gold, Starry Night Black;10;1;;
12;Wildfire E2 Plus;https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e2-plus.jpg;;Black;10;1;;
13;Wildfire E3;https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e3.jpg;;;10;1;;
14;Desire 21 Pro 5G;https://fdn2.gsmarena.com/vv/bigpic/htc-desire-21-pro-5g.jpg;;;10;1;;
15;Desire 20+;https://fdn2.gsmarena.com/vv/bigpic/htc-desire-20-plus.jpg;;;10;1;;
16;Wildfire E1 lite;https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e1-lite.jpg;;;10;1;;
17;Wildfire E2;https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e2.jpg;;;10;1;;
18;Wildfire E1 plus;https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e1-plus.jpg;;;10;1;;
19;Wildfire E1;https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e1.jpg;;;10;1;;
20;Wildfire E;https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-e1-lite.jpg;;;10;1;;
21;U20 5G;https://fdn2.gsmarena.com/vv/bigpic/htc-u20-5g.jpg;;;10;1;;
22;Desire 20 Pro;https://fdn2.gsmarena.com/vv/bigpic/htc-desire20-pro.jpg;;;10;1;;
23;Desire 19s;https://fdn2.gsmarena.com/vv/bigpic/htc-desire-19s.jpg;;;10;1;;
24;Exodus 1s;https://fdn2.gsmarena.com/vv/bigpic/htc-exodus-1s-.jpg;;;10;1;;
25;Wildfire X;https://fdn2.gsmarena.com/vv/bigpic/htc-wildfire-x-.jpg;;;10;1;;
26;U19e;https://fdn2.gsmarena.com/vv/bigpic/htc-u19e.jpg;;Extraordinary Purple, Modest Green;10;1;;
27;Desire 19+;https://fdn2.gsmarena.com/vv/bigpic/htc-desire-19-plus-.jpg;;Star Can Blue, Jasmine White;10;1;;
28;Desire 12s;https://fdn2.gsmarena.com/vv/bigpic/htc-desire-12s-.jpg;;Black, Silver, Red;10;1;;
29;Exodus 1;https://fdn2.gsmarena.com/vv/bigpic/htc-exodus-1-new.jpg;;Black;10;1;;
30;U12 life;https://fdn2.gsmarena.com/vv/bigpic/htc-u12-life.jpg;;Moonlight Blue, Twilight Purple;10;1;;
31;U12+;https://fdn2.gsmarena.com/vv/bigpic/htc-u12-plus-.jpg;;Translucent Blue, Ceramic Black, Flame Red;10;1;;
32;Desire 12+;https://fdn2.gsmarena.com/vv/bigpic/htc-desire-12-plus.jpg;;Black, Silver, Gold;10;1;;
33;Desire 12;https://fdn2.gsmarena.com/vv/bigpic/htc-desire-12.jpg;;Cool Black, Warm Silver;10;1;;
34;U11 Eyes;https://fdn2.gsmarena.com/vv/bigpic/htc-u11-eyes-.jpg;;Black, Red, Blue;10;1;;
35;U11+;https://fdn2.gsmarena.com/vv/bigpic/htc-u11-plus-.jpg;;Translucent Black, Ceramic Black, Amazing Silver;10;1;;
36;U11 Life;https://fdn2.gsmarena.com/vv/bigpic/htc-u11-life-r1.jpg;;Brilliant Black, Sapphire Blue, Ice White;10;1;;
