id;name;image;code;colors;brand_id;repair_category_id;status;sort_order
1;Mate 60 Pro+;https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-60-pro-plus.jpg;;Black, Light Gold;3;1;;
2;Mate X5;https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-x5.jpg;;Black, White, Purple, Dark Green, Gold;3;1;;
3;Mate 60 Pro;https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-60-pro.jpg;;Black, White, Green, Purple;3;1;;
4;Mate 60;https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-60.jpg;;Black, White, Green, Purple;3;1;;
5;MatePad 11.5;https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-115.jpg;;Space Gray;3;2;;
6;MatePad Air;https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-air.jpg;;Graphite Black, White;3;2;;
7;nova Y91;https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-y91.jpg;;Starry Black, Moonlight Silver;3;1;;
8;Watch 4 Pro;https://fdn2.gsmarena.com/vv/bigpic/huawei-watch4-pro.jpg;;Titanium;3;3;;
9;Watch 4;https://fdn2.gsmarena.com/vv/bigpic/huawei-watch4.jpg;;Black;3;3;;
10;nova 11i;https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-11i.jpg;;;3;1;;
11;nova Y71;https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-y71.jpg;;;3;1;;
12;Enjoy 60X;https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-60x.jpg;;;3;1;;
13;nova 11 Ultra;https://fdn2.gsmarena.com/vv/bigpic/huawei-nova11-ultra.jpg;;;3;1;;
14;nova 11 Pro;https://fdn2.gsmarena.com/vv/bigpic/huawei-nova11-pro.jpg;;;3;1;;
15;nova 11;https://fdn2.gsmarena.com/vv/bigpic/huawei-nova11.jpg;;;3;1;;
16;Mate X3;https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-x3.jpg;;;3;1;;
17;P60 Pro;https://fdn2.gsmarena.com/vv/bigpic/huawei-p60-pro.jpg;;;3;1;;
18;P60;https://fdn2.gsmarena.com/vv/bigpic/huawei-p60.jpg;;;3;1;;
19;P60 Art;https://fdn2.gsmarena.com/vv/bigpic/huawei-p60-art.jpg;;;3;1;;
20;Enjoy 60;https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-60.jpg;;;3;1;;
21;Watch Ultimate;https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-gt-ultimate.jpg;;;3;3;;
22;MatePad 11 (2023);https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-11-2023.jpg;;;3;2;;
23;nova 10 Youth;https://fdn2.gsmarena.com/vv/bigpic/huawei-nova10-yough.jpg;;;3;1;;
24;Watch Buds;https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-buds-.jpg;;;3;3;;
25;Enjoy 50z;https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-y61.jpg;;;3;1;;
26;Watch GT 3 SE;https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-gt-3-se-.jpg;;Graphite Black, Wilderness Green;3;3;;
27;Pocket S;https://fdn2.gsmarena.com/vv/bigpic/huawei-pocket-s.jpg;;Blue, Pink, Gren, Silver, Gold, Black;3;1;;
28;Watch GT Cyber;https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-gt-cyber.jpg;;Black, Gray, White, Blue;3;3;;
29;nova Y61;https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-y61.jpg;;Sapphire Blue, Mint Green, Midnight Black;3;1;;
30;MatePad C5e;https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-se.jpg;;Deepsea Blue;3;2;;
31;nova 10 SE;https://fdn2.gsmarena.com/vv/bigpic/huawei-nova10-se.jpg;;Starry Silver, Mint Green, Starry Black;3;1;;
32;Mate 50 RS Porsche Design;https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-50-rs-porsche-design.jpg;;Ink Blue, Purple;3;1;;
33;Mate 50 Pro;https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-50-pro.jpg;;Black, Silver, Purple, Orange;3;1;;
34;Mate 50E;https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-50e.jpg;;Black, Silver, Purple;3;1;;
35;Mate 50;https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-50.jpg;;Black, Silver, Purple, Orange;3;1;;
36;nova 10z;https://fdn2.gsmarena.com/vv/bigpic/huavei-nova-10z.jpg;;Black, Silver, Green;3;1;;
37;MatePad Pro 11 (2022);https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-pro-11-2022-ofic.jpg;;Golden Black, Galaxy Blue, Crystal White, Brocade White;3;2;;
38;nova 10 Pro;https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-10-pro.jpg;;Black, Silver, Green, Violet;3;1;;
39;nova 10;https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-10.jpg;;Black, Silver, Green, Violet;3;1;;
40;nova Y90;https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-y90.jpg;;Crystal Blue, Pearl White, Emerald Green, Midnight Black;3;1;;
41;MatePad 10.4 (2022);https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-104-2022.jpg;;Midnight Grey;3;2;;
42;Mate Xs 2;https://fdn2.gsmarena.com/vv/bigpic/huawei-mate-xs-2.jpg;;Black, White, Purple;3;1;;
43;Watch GT 3 Porsche Design;https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-gt-3-porshe.jpg;;Dark Titanium;3;3;;
44;Watch GT 3 Pro;https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-gt-3-pro.jpg;;Silver;3;3;;
45;Watch D;https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-d.jpg;;Graphite Black;3;3;;
46;MatePad SE;https://fdn2.gsmarena.com/vv/bigpic/huawei-matepad-se.jpg;;;3;2;;
47;nova 9 SE 5G;https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-9-se.jpg;;;3;1;;
48;nova Y70 Plus;https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-y70-plus.jpg;;;3;1;;
49;P50E;https://fdn2.gsmarena.com/vv/bigpic/huawei-p50e.jpg;;;3;1;;
50;nova 9 SE;https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-9-se.jpg;;;3;1;;
51;P50 Pocket;https://fdn2.gsmarena.com/vv/bigpic/huawei-p50-pocket.jpg;;Black, Gold, Silver;3;1;;
52;nova 8 SE 4G;https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-8-se.jpg;;Black, Blue, Aurora, Silver;3;1;;
53;nova Y60;https://fdn2.gsmarena.com/vv/bigpic/huawei-nova-y60.jpg;;Midnight Black, Crush Green;3;1;;
54;Enjoy 20e;https://fdn2.gsmarena.com/vv/bigpic/huawei-enjoy-20e.jpg;;Black, Green, Violet;3;1;;
55;Watch GT Runner;https://fdn2.gsmarena.com/vv/bigpic/huawei-gt-runner.jpg;;Black, Gray;3;3;;
56;Watch Fit mini;https://fdn2.gsmarena.com/vv/bigpic/huawei-watch-fit-mini.jpg;;Silver;3;3;;
