id;name;image;code;colors;brand_id;repair_category_id;status;sort_order
1;Legion Y700 (2023);https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y700-2023.jpg;;Gray;11;2;;
2;Tab P12;https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-p12.jpg;;Storm Grey, Oat;11;2;;
3;Tab M10;https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m10-5g-10.jpg;;Abyss Blue;11;2;;
4;Tab Extreme;https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-extreme.jpg;;Storm Grey;11;2;;
5;Tab M9;https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m9.jpg;;Arctic Grey, Frost Blue;11;2;;
6;Tab M8 (4th Gen);https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m8-4th-gen.jpg;;Abyss blue, Arctic grey;11;2;;
7;Tab P11 Gen 2;https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-p11-pro-gen2.jpg;;Storm Grey, Sage;11;2;;
8;Tab P11 Pro Gen 2;https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-p11-pro-gen2.jpg;;Storm Grey, Oat;11;2;;
9;Tab M10 Gen 3;https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m10-gen3.jpg;;Storm Grey;11;2;;
10;Pad Pro 2022;https://fdn2.gsmarena.com/vv/bigpic/lenovo-pad-pro-2022.jpg;;Gray, Gold;11;2;;
11;Legion Y70;https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y70.jpg;;Black, Silver, Red;11;1;;
12;Tab M10 Plus (3rd Gen);https://fdn2.gsmarena.com/vv/bigpic/lenovo-tabm10plus.jpg;;Storm Grey, Frost Blue;11;2;;
13;Legion Y700;https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y700.jpg;;Gray;11;2;;
14;Legion Y90;https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-y90.jpg;;Gray;11;1;;
15;K14 Plus;https://fdn2.gsmarena.com/vv/bigpic/lenovo-k14-plus.jpg;;Black, Gold;11;1;;
16;Tab K10;https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-k10.jpg;;Abyss Blue;11;2;;
17;Tab P12 Pro;https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-p12-pro-.jpg;;Storm Grey;11;2;;
18;Tab P11 5G;https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-p11-5g.jpg;;Moon White, Storm Grey, Modernist Teal;11;2;;
19;K13 Pro;https://fdn2.gsmarena.com/vv/bigpic/lenovo-k13-pro.jpg;;Black;11;1;;
20;K13;https://fdn2.gsmarena.com/vv/bigpic/lenovo-k13.jpg;;Tahiti Blue, Coral Red;11;1;;
21;Yoga Tab 11;https://fdn2.gsmarena.com/vv/bigpic/lenovo-yoga-tab-11.jpg;;Storm Gray;11;2;;
22;Tab P11 Plus;https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-p11.jpg;;Slate Grey, Platinum Grey, Modernist teal;11;2;;
23;Tab M8 (3rd Gen);https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m8-3.jpg;;Iron Grey, Platinum Grey;11;2;;
24;Tab M7 (3rd Gen);https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m7-3.jpg;;Iron Grey;11;2;;
25;K13 Note;https://fdn2.gsmarena.com/vv/bigpic/lenovo-k13-note.jpg;;Aurora Gray, Pearl Sakura;11;1;;
26;Yoga Tab 13;https://fdn2.gsmarena.com/vv/bigpic/lenovo-yoga-pad-pro.jpg;;Gray;11;2;;
27;Pad Pro;https://fdn2.gsmarena.com/vv/bigpic/lenovo-pad-pro.jpg;;Silver;11;2;;
28;Pad Plus;https://fdn2.gsmarena.com/vv/bigpic/lenovo-pad-plus-2021.jpg;;White;11;2;;
29;Pad;https://fdn2.gsmarena.com/vv/bigpic/lenovo-pad-2021.jpg;;Gray;11;2;;
30;Legion 2 Pro;https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-2-pro-phone-duel2-1.jpg;;Titanium White, Ultimate Black;11;1;;
31;Legion Duel 2;https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-2-pro-phone-duel2-1.jpg;;Titanium White, Ultimate Black;11;1;;
32;K12 Pro;https://fdn2.gsmarena.com/vv/bigpic/lenovo-k12-pro.jpg;;Electric Violet, Metallic Sage;11;1;;
33;K12 (China);https://fdn2.gsmarena.com/vv/bigpic/lenovo-k12.jpg;;Navy Blue, Gray;11;1;;
34;A8 2020;https://fdn2.gsmarena.com/vv/bigpic/lenovo-a8-2020.jpg;;Black, Blue;11;1;;
35;Tab P11 Pro;https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-p11-pro.jpg;;Slate Grey, Platinum Grey;11;2;;
36;Tab P11;https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-p11.jpg;;Slate Grey, Platinum Grey;11;2;;
37;Tab M10 HD Gen 2;https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m10-hd-gen2--.jpg;;Iron Gray, Platinum Gray;11;2;;
38;Legion Duel;https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-.jpg;;Vengeance Red, Blazing Blue;11;1;;
39;Legion Pro;https://fdn2.gsmarena.com/vv/bigpic/lenovo-legion-.jpg;;Vengeance Red, Blazing Blue, White;11;1;;
40;A7;https://fdn2.gsmarena.com/vv/bigpic/lenovo-a7.jpg;;Black, Blue;11;1;;
41;M10 Plus;https://fdn2.gsmarena.com/vv/bigpic/lenovo-m10-plus.jpg;;Iron Grey;11;2;;
42;M10 FHD REL;https://fdn2.gsmarena.com/vv/bigpic/lenovo-m10-fhd-rel.jpg;;Black;11;2;;
43;Yoga Smart Tab;https://fdn2.gsmarena.com/vv/bigpic/lenovo-yoga-smart-tab.jpg;;Iron Grey;11;2;;
44;K10 Plus;https://fdn2.gsmarena.com/vv/bigpic/lenovo-k10-plus.jpg;;Black, Sprite;11;1;;
45;K10 Note;https://fdn2.gsmarena.com/vv/bigpic/lenovo-z6-youth.jpg;;Knight Black, Stardust Blue;11;1;;
46;A6 Note;https://fdn2.gsmarena.com/vv/bigpic/lenovo-a6-note-.jpg;;Black, Blue;11;1;;
47;Tab M8 (FHD);https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m8-HD.jpg;;Iron Grey, Platinum Grey;11;2;;
48;Tab M8 (HD);https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m8-HD.jpg;;Iron Grey, Platinum Grey;11;2;;
49;Tab M7;https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-m7.jpg;;Iron Grey, Platinum Grey, Onyx Black;11;2;;
50;Z6;https://fdn2.gsmarena.com/vv/bigpic/lenovo-z6.jpg;;Blue;11;1;;
51;Z6 Pro 5G;https://fdn2.gsmarena.com/vv/bigpic/lenovo-z6-pro.jpg;;Red, Blue;11;1;;
52;Z6 Youth;https://fdn2.gsmarena.com/vv/bigpic/lenovo-z6-youth.jpg;;Red, Green;11;1;;
53;Z6 Pro;https://fdn2.gsmarena.com/vv/bigpic/lenovo-z6-pro.jpg;;Red, Blue/Green;11;1;;
54;K6 Enjoy;https://fdn2.gsmarena.com/vv/bigpic/lenovo-k6-enjoy.jpg;;Blue, Black;11;1;;
55;Tab V7;https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-v7.jpg;;Black;11;2;;
56;S5 Pro GT;https://fdn2.gsmarena.com/vv/bigpic/lenovo-s5-pro.jpg;;Black, Gold, Blue;11;1;;
57;Z5s;https://fdn2.gsmarena.com/vv/bigpic/lenovo-z5s.jpg;;Starry Night Grey, Love Orange, Titanium Blue;11;1;;
58;Z5 Pro GT;https://fdn2.gsmarena.com/vv/bigpic/lenovo-z5-pro-gt-.jpg;;Carbon Black;11;1;;
59;Z5 Pro;https://fdn2.gsmarena.com/vv/bigpic/lenovo-z5-pro.jpg;;Black;11;1;;
60;S5 Pro;https://fdn2.gsmarena.com/vv/bigpic/lenovo-s5-pro.jpg;;Black, Gold, Blue;11;1;;
61;K5 Pro;https://fdn2.gsmarena.com/vv/bigpic/lenovo-k5-pro.jpg;;Black, Gold;11;1;;
62;K9;https://fdn2.gsmarena.com/vv/bigpic/lenovo-k9.jpg;;Black, Blue;11;1;;
63;Z5;https://fdn2.gsmarena.com/vv/bigpic/lenovo-z5.jpg;;Black, Aurora, Blue;11;1;;
64;K5 Note (2018);https://fdn2.gsmarena.com/vv/bigpic/lenovo-k5-note-2018-.jpg;;Black, Gold, Blue;11;1;;
65;A5;https://fdn2.gsmarena.com/vv/bigpic/lenovo-a5-.jpg;;Black, Gold, Rose Gold;11;1;;
66;K5 play;https://fdn2.gsmarena.com/vv/bigpic/lenovo-k5-play.jpg;;Black, Gray, Blue;11;1;;
67;K5;https://fdn2.gsmarena.com/vv/bigpic/lenovo-k5-new.jpg;;Black, Gray, Blue;11;1;;
68;S5;https://fdn2.gsmarena.com/vv/bigpic/lenovo-s5-.jpg;;Midnight Black, Flame Red;11;1;;
69;K320t;https://fdn2.gsmarena.com/vv/bigpic/lenovo-k320t.jpg;;Black;11;1;;
70;moto tab;https://fdn2.gsmarena.com/vv/bigpic/lenovo-moto-tab.jpg;;Aurora Black;11;1;;
71;Tab 7 Essential;https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-7-essential.jpg;;Black, Silver;11;2;;
72;Tab 7;https://fdn2.gsmarena.com/vv/bigpic/lenovo-tab-7-.jpg;;Slate Black, White;11;2;;
73;K8 Plus;https://fdn2.gsmarena.com/vv/bigpic/lenovo-k8-plus.jpg;;Fine Gold, Venom Black;11;1;;
74;K8;https://fdn2.gsmarena.com/vv/bigpic/lenovo-k8.jpg;;Black, White/Gold;11;1;;
