id;name;image;code;colors;brand_id;repair_category_id;status;sort_order
1;Ultra Tab;https://fdn2.gsmarena.com/vv/bigpic/lg_ultratab.jpg;;Charcoal Gray;12;2;;
2;W41 Pro;https://fdn2.gsmarena.com/vv/bigpic/lg-w41-pro.jpg;;Magic Blue, Laser Blue;12;1;;
3;W41+;https://fdn2.gsmarena.com/vv/bigpic/lg-w41-plus.jpg;;Magic Blue, Laser Blue;12;1;;
4;W41;https://fdn2.gsmarena.com/vv/bigpic/lg-w41.jpg;;Magic Blue, Laser Blue;12;1;;
5;W31+;https://fdn2.gsmarena.com/vv/bigpic/lg-w31-plus.jpg;;Midnight Blue;12;1;;
6;W31;https://fdn2.gsmarena.com/vv/bigpic/lg-w31.jpg;;Midnight Blue;12;1;;
7;W11;https://fdn2.gsmarena.com/vv/bigpic/lg-w11.jpg;;Midnight Blue;12;1;;
8;K92 5G;https://fdn2.gsmarena.com/vv/bigpic/lg-k92-5g.jpg;;Titan Gray;12;1;;
9;K62;https://fdn2.gsmarena.com/vv/bigpic/lg-k62.jpg;;White, Sky Blue, Red;12;1;;
10;Q52;https://fdn2.gsmarena.com/vv/bigpic/lg-q52.jpg;;Silky White, Silky Red;12;1;;
11;K52;https://fdn2.gsmarena.com/vv/bigpic/lg-k52.jpg;;White, Blue, Red;12;1;;
12;K42;https://fdn2.gsmarena.com/vv/bigpic/lg-k42.jpg;;Gray, Green;12;1;;
13;K71;https://fdn2.gsmarena.com/vv/bigpic/lg-stylo6.jpg;;White;12;1;;
14;Wing 5G;https://fdn2.gsmarena.com/vv/bigpic/lg-wing.jpg;;Aurora Gray, Illusion Sky;12;1;;
15;K22;https://fdn2.gsmarena.com/vv/bigpic/lg-k22.jpg;;Titan, Blue;12;1;;
16;Q92 5G;https://fdn2.gsmarena.com/vv/bigpic/lg-q92.jpg;;White, Dark Blue, Red;12;1;;
17;Q31;https://fdn2.gsmarena.com/vv/bigpic/lg-q31.jpg;;Silver;12;1;;
18;K31;https://fdn2.gsmarena.com/vv/bigpic/lg-k31.jpg;;Gray;12;1;;
19;Velvet 5G UW;https://fdn2.gsmarena.com/vv/bigpic/lg-velvet-5g-uw-.jpg;;Aurora Red;12;1;;
20;Q61;https://fdn2.gsmarena.com/vv/bigpic/lg-q61.jpg;;White;12;1;;
21;Stylo 6;https://fdn2.gsmarena.com/vv/bigpic/lg-stylo6.jpg;;White;12;1;;
