id;name;image;code;colors;brand_id;repair_category_id;status;sort_order
1;Surface Duo 2;https://fdn2.gsmarena.com/vv/bigpic/microsoft-surface-duo2.jpg;;Glacier, Obsidian;13;1;;
2;Surface Duo;https://fdn2.gsmarena.com/vv/bigpic/microsoft-surface-duo.jpg;;White;13;1;;
3;Lumia 650;https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-650-s.jpg;;Black, White;13;1;;
4;Lumia 950 XL Dual SIM;https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-xl--.jpg;;Black, White;13;1;;
5;Lumia 950 XL;https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-xl--.jpg;;Black, White;13;1;;
6;Lumia 950 Dual SIM;https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-1.jpg;;Black, White;13;1;;
7;Lumia 950;https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-950-1.jpg;;Black, White;13;1;;
8;Lumia 550;https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-550-.jpg;;Black, White;13;1;;
9;Lumia 540 Dual SIM;https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-540-ds1.jpg;;Orange, white, black, gray, blue;13;1;;
10;Lumia 430 Dual SIM;https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-430.jpg;;Black, Orange;13;1;;
11;Lumia 640 XL LTE Dual SIM;https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-640-xl-4g-ds.jpg;;Matte cyan, Orange, Black, Matte white, Glossy white;13;1;;
12;Lumia 640 XL LTE;https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-640-xl-4g.jpg;;Matte cyan, Orange, Black, Matte white, Glossy white;13;1;;
13;Lumia 640 XL Dual SIM;https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-640-xl-3g-ds.jpg;;Matte cyan, Orange, Black, Matte white, Glossy white;13;1;;
14;Lumia 640 XL;https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-640-xl-3g.jpg;;Matte cyan, Orange, Black, Matte white, Glossy white;13;1;;
15;Lumia 640 LTE Dual SIM;https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-640-4g-ds.jpg;;Glossy cyan, Orange, White, Matte black;13;1;;
16;Lumia 640 LTE;https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-640-4g.jpg;;Glossy cyan, Orange, White, Matte black;13;1;;
17;Lumia 640 Dual SIM;https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-640-3g-ds.jpg;;Glossy cyan, Orange, White, Matte black;13;1;;
18;Lumia 532 Dual SIM;https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-532.jpg;;Black, White, Green, Orange;13;1;;
19;Lumia 532;https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-532.jpg;;Black, White, Green, Orange;13;1;;
20;Lumia 435 Dual SIM;https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-435.jpg;;Black, White, Green, Orange;13;1;;
21;Lumia 435;https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-435.jpg;;Black, White, Green, Orange;13;1;;
22;Lumia 535 Dual SIM;https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-535-ds.jpg;;Orange, green, white, black, gray, blue;13;1;;
23;Lumia 535;https://fdn2.gsmarena.com/vv/bigpic/nokia-lumia-535.jpg;;Orange, green, white, black, gray, blue;13;1;;
24;Surface 2;https://fdn2.gsmarena.com/vv/bigpic/microsoft-surface-2.jpg;;Dark Titanium;13;2;;
25;Surface;https://fdn2.gsmarena.com/vv/bigpic/microsoft-surface.jpg;;Dark Titanium;13;2;;
26;Kin TWOm;https://fdn2.gsmarena.com/vv/bigpic/kin-twom.jpg;;Black;13;1;;
27;Kin ONEm;https://fdn2.gsmarena.com/vv/bigpic/kin-onem.jpg;;Black;13;1;;
28;Kin Two;https://fdn2.gsmarena.com/vv/bigpic/microsoft-kin-two-new.jpg;;Black;13;1;;
29;Kin One;https://fdn2.gsmarena.com/vv/bigpic/microsoft-kin-one-new.jpg;;Black;13;1;;
30;Lumia 850;https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-850-.jpg;;Black;13;1;;
31;Lumia 1030;https://fdn2.gsmarena.com/vv/bigpic/microsoft-lumia-1030.jpg;;Black, Gray, Silver;13;1;;
32;Lumia 1330;https://fdn2.gsmarena.com/vv/bigpic/microsoft.jpg;;Yellow, white, black, red;13;1;;
