id;name;image;code;colors;brand_id;repair_category_id;status;sort_order
1;Edge 40 Neo;https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-40-neo.jpg;;Black, Soothing Sea, Caneel Bay;14;1;;
2;Moto G54 (China);https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g54.jpg;;Blue, Green, Red;14;1;;
3;Moto G54;https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g54-10.jpg;;Midnight Blue, Pearl Blue, Mint Green;14;1;;
4;Moto G84;https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g84.jpg;;Marshmallow Blue, Midnight Blue, Viva Magenta;14;1;;
5;Moto G14;https://fdn2.gsmarena.com/vv/bigpic/mototola-g14.jpg;;Steel Gray, Sky Blue, Butter Cream, Pale Lilac;14;1;;
6;Razr 40 Ultra;https://fdn2.gsmarena.com/vv/bigpic/motorola-razr-40-ultra.jpg;;Infinite Black, Glacier Blue, Viva Magenta;14;1;;
7;Razr 40;https://fdn2.gsmarena.com/vv/bigpic/motorola-razr-40.jpg;;Sage Green, Vanilla Cream, Summer Lilac, Grape Compote;14;1;;
8;Moto G Stylus 5G (2023);https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-stylus-5g-2023.jpg;;Cosmic Black, Rose Champagne;14;1;;
9;Edge 40;https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-40.jpg;;Nebula Green, Lunar Blue, Eclipse Black, Viva Magenta;14;1;;
10;Edge+ (2023);https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-plus-2023.jpg;;Interstellar Black;14;1;;
11;Moto G Stylus (2023);https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-stylus-2023.jpg;;Blue, Rose Gold;14;1;;
12;Moto G (2023);https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-5g-2023.jpg;;Ink Blue;14;1;;
13;Moto Watch 200;https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-watch-200-.jpg;;Warm Gold, Phantom Black;14;3;;
14;Moto Watch 70;https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-watch-70.jpg;;Phantom Black;14;3;;
15;Moto G Power 5G;https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g-power-5g.jpg;;Dark Blue;14;1;;
16;Edge 40 Pro;https://fdn2.gsmarena.com/vv/bigpic/motorola-edge-40-pro.jpg;;Interstellar Black, Lunar Blue;14;1;;
17;Defy 2;https://fdn2.gsmarena.com/vv/bigpic/motorola-defy-2-new.jpg;;Black;14;1;;
18;Moto G73;https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g73.jpg;;Lucent White, Midnight Blue;14;1;;
19;Moto G53;https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g53.jpg;;Ink Blue, Arctic Silver, Pale Pink;14;1;;
20;Moto G23;https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g23-r.jpg;;Matte Charcoal, Pearl White, Steel Blue;14;1;;
21;Moto G13;https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-g13.jpg;;Matte Charcoal, Blue Lavender, Rose Gold;14;1;;
22;Moto E13;https://fdn2.gsmarena.com/vv/bigpic/motorola-moto-e13-new.jpg;;Cosmic Black, Creamy White, Aurora Green;14;1;;
23;ThinkPhone;https://fdn2.gsmarena.com/vv/bigpic/motorola-thinkphone.jpg;;Carbon Black;14;1;;
