id;name;image;code;colors;brand_id;repair_category_id;status;sort_order
4650;C210;https://fdn2.gsmarena.com/vv/bigpic/nokia-c210.jpg;;Gray;15;1;;
4651;G310;https://fdn2.gsmarena.com/vv/bigpic/nokia-g310-5g.jpg;;Blue;15;1;;
4652;150 (2023);https://fdn2.gsmarena.com/vv/bigpic/nokia-150-2023.jpg;;Black, Cyan, Red;15;1;;
4653;130 (2023);https://fdn2.gsmarena.com/vv/bigpic/nokia-130-music.jpg;;Dark Blue, Purple, Light Gold;15;1;;
4654;G42;https://fdn2.gsmarena.com/vv/bigpic/nokia-g42-5g.jpg;;Gray, Purple;15;1;;
4655;C300;https://fdn2.gsmarena.com/vv/bigpic/nokia-c300.jpg;;Blue;15;1;;
4656;C110;https://fdn2.gsmarena.com/vv/bigpic/nokia-c110.jpg;;Gray;15;1;;
4657;110 4G (2023);https://fdn2.gsmarena.com/vv/bigpic/nokia-110-4g-2023.jpg;;Midnight Blue, Arctic Purple;15;1;;
4658;110 (2023);https://fdn2.gsmarena.com/vv/bigpic/nokia-110-2023.jpg;;Charcoal, Cloudy Blue;15;1;;
4659;106 4G (2023);https://fdn2.gsmarena.com/vv/bigpic/nokia-105-4g-2023.jpg;;Charcoal, Ocean Blue;15;1;;
4660;106 (2023);https://fdn2.gsmarena.com/vv/bigpic/nokia-106-2023.jpg;;Red Terracotta, Emerald Green, Charcoal;15;1;;
4661;105 4G (2023);https://fdn2.gsmarena.com/vv/bigpic/nokia-105-4g-2023.jpg;;Charcoal, Ocean Blue;15;1;;
4662;105 (2023);https://fdn2.gsmarena.com/vv/bigpic/nokia-105-2023.jpg;;Red Terracotta, Cyan, Charcoal;15;1;;
4663;XR21;https://fdn2.gsmarena.com/vv/bigpic/nokia-xr21.jpg;;Midnight Black, Pine Green;15;1;;
4664;C12 Plus;https://fdn2.gsmarena.com/vv/bigpic/nokia-c12.jpg;;Dark Cyan, Charcoal, Light Mint;15;1;;
4665;C12 Pro;https://fdn2.gsmarena.com/vv/bigpic/nokia-c12.jpg;;Dark Cyan, Charcoal, Light Mint;15;1;;
4666;C32;https://fdn2.gsmarena.com/vv/bigpic/nokia-c32-2023.jpg;;Charcoal, Autumn Green, Beach Pink;15;1;;
4667;C22;https://fdn2.gsmarena.com/vv/bigpic/nokia-c22-2023.jpg;;Sand, Midnight Black;15;1;;
4668;G22;https://fdn2.gsmarena.com/vv/bigpic/nokia-g22-2023.jpg;;Lagoon Blue, Meteor Gray;15;1;;
4669;C02;https://fdn2.gsmarena.com/vv/bigpic/nokia-c02.jpg;;Dark Cyan, Charcoal;15;1;;
4670;C12;https://fdn2.gsmarena.com/vv/bigpic/nokia-c12.jpg;;Dark Cyan, Charcoal, Light Mint;15;1;;
4671;2780 Flip;https://fdn2.gsmarena.com/vv/bigpic/nokia-2780-flip.jpg;;Red, Blue;15;1;;
4672;X30;https://fdn2.gsmarena.com/vv/bigpic/nokia-x30-5g.jpg;;Cloudy Blue, Ice White;15;1;;
4673;G100;https://fdn2.gsmarena.com/vv/bigpic/nokia-g100.jpg;;Nordic Blue;15;1;;
4674;G60;https://fdn2.gsmarena.com/vv/bigpic/nokia-g60-5g.jpg;;Pure Black, Ice Gray;15;1;;
4675;C31;https://fdn2.gsmarena.com/vv/bigpic/nokia-c31.jpg;;Charcoal, Mint, Cyan;15;1;;
4676;T21;https://fdn2.gsmarena.com/vv/bigpic/nokia-t21.jpg;;Charcoal Grey;15;1;;
4677;G400;https://fdn2.gsmarena.com/vv/bigpic/nokia-g400-5g.jpg;;Meteor Grey;15;1;;
4678;110 (2022);https://fdn2.gsmarena.com/vv/bigpic/nokia-110-2022.jpg;;Rose Gold, Cyan, Charcoal;15;1;;
4679;8210 4G;https://fdn2.gsmarena.com/vv/bigpic/nokia-8210-4g.jpg;;Sand, Blue, Red;15;1;;
4680;5710 XpressAudio;https://fdn2.gsmarena.com/vv/bigpic/nokia-5710-xpressaudio.jpg;;Black/White, Red/White;15;1;;
4681;2760 Flip;https://fdn2.gsmarena.com/vv/bigpic/nokia-2660-flip.jpg;;Black;15;1;;
4682;2660 Flip;https://fdn2.gsmarena.com/vv/bigpic/nokia-2660-flip.jpg;;Black, Blue, Red;15;1;;
