id;name;image;code;colors;brand_id;repair_category_id;status;sort_order
5226;Ace 2 Pro;https://fdn2.gsmarena.com/vv/bigpic/oneplus-ace-2-pro.jpg;;Aurora Green, Titanium Gray;16;1;;
5227;Nord CE3;https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce3-5g.jpg;;Aqua Surge, Gray Shimmer;16;1;;
5228;Nord 3;https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-3r.jpg;;Misty Green, Tempest Gray;16;1;;
5229;Nord N30;https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-n30-5g.jpg;;Chromatic Gray;16;1;;
5230;Nord CE 3 Lite;https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce-3-lite-.jpg;;Pastel Lime, Chromatic Gray;16;1;;
5231;Ace 2V;https://fdn2.gsmarena.com/vv/bigpic/oneplus-ace-2v.jpg;;Black, Blue/Green;16;1;;
5232;Pad;https://fdn2.gsmarena.com/vv/bigpic/oneplus-pad.jpg;;Halo Green;16;2;;
5233;11R;https://fdn2.gsmarena.com/vv/bigpic/oneplus-ace2.jpg;;Galactic Silver, Sonic Black;16;1;;
5234;Ace 2;https://fdn2.gsmarena.com/vv/bigpic/oneplus-ace2.jpg;;Black, Glacier Blue;16;1;;
5235;11;https://fdn2.gsmarena.com/vv/bigpic/oneplus-11.jpg;;Titan Black, Eternal Green, Jupiter Rock;16;1;;
5236;Nord N300;https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-n300-5g.jpg;;Midnight Jade;16;1;;
5237;Nord Watch;https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-watch.jpg;;Midnight Black, Deep Blue;16;3;;
5238;Ace Pro;https://fdn2.gsmarena.com/vv/bigpic/oneplus-10t-5g.jpg;;Moonstone Black, Jade Green, Genshin Impact;16;1;;
5239;Nord N20 SE;https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-n20-se.jpg;;Blue Oasis, Celestial Black;16;1;;
5240;10T;https://fdn2.gsmarena.com/vv/bigpic/oneplus-10t-5g.jpg;;Moonstone Black, Jade Green;16;1;;
5241;Nord 2T;https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-2t.jpg;;Gray Shadow, Jade Fog;16;1;;
5242;Ace Racing;https://fdn2.gsmarena.com/vv/bigpic/oneplus-ace-race.jpg;;Black, Blue;16;1;;
5243;Nord N20 5G;https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-n20-5g-.jpg;;;16;1;;
5244;10R 150W;https://fdn2.gsmarena.com/vv/bigpic/oneplus-10r.jpg;;;16;1;;
5245;10R;https://fdn2.gsmarena.com/vv/bigpic/oneplus-10r.jpg;;;16;1;;
5246;Nord CE 2 Lite 5G;https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce-2-lite-5g-0.jpg;;;16;1;;
5247;Ace;https://fdn2.gsmarena.com/vv/bigpic/oneplus-ace.jpg;;;16;1;;
5248;10 Pro;https://fdn2.gsmarena.com/vv/bigpic/oneplus-10-pro.jpg;;;16;1;;
5249;Nord CE 2 5G;https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce-2-5g.jpg;;;16;1;;
5250;9RT 5G;https://fdn2.gsmarena.com/vv/bigpic/oneplus-9-rt-r.jpg;;;16;1;;
5251;Nord 2 5G;https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-2-5g-new.jpg;;Gray Sierra, Blue Haze, Green Wood, Pac-Man Edition;16;1;;
5252;Nord N200 5G;https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-n200-5g.jpg;;Blue Quantum;16;1;;
5253;Nord CE 5G;https://fdn2.gsmarena.com/vv/bigpic/oneplus-nord-ce-5g.jpg;;Blue Void, Charkoal Ink, Silver Ray;16;1;;
5254;9 Pro;https://fdn2.gsmarena.com/vv/bigpic/oneplus-9-pro-.jpg;;Morning Mist, Forest Green, Stellar Black;16;1;;
5255;9;https://fdn2.gsmarena.com/vv/bigpic/oneplus-9-.jpg;;Winter Mist, Arctic Sky, Astral Black;16;1;;
5256;9R;https://fdn2.gsmarena.com/vv/bigpic/oneplus-9r.jpg;;Carbon Black, Lake Blue;16;1;;
5257;Watch;https://fdn2.gsmarena.com/vv/bigpic/oneplus-watch.jpg;;Midnight Black, Moonlight Silver, Cobalt, Harry Potter Edition;16;3;;
