id;name;image;code;colors;brand_id;repair_category_id;status;sort_order
5285;A38;https://fdn2.gsmarena.com/vv/bigpic/oppo-a38.jpg;;Glowing Black, Glowing Gold;17;1;;
5286;Watch SE;https://fdn2.gsmarena.com/vv/bigpic/oppo-watch-se.jpg;;Gray, Purple, Brown;17;3;;
5287;Watch 4 Pro;https://fdn2.gsmarena.com/vv/bigpic/oppo-watch4-pro-.jpg;;Black, Silver;17;3;;
5288;Find N3 Flip;https://fdn2.gsmarena.com/vv/bigpic/oppo-find-n3-flip.jpg;;Astral Black, Moonlit Gold, Mist Rose;17;1;;
5289;A58 4G;https://fdn2.gsmarena.com/vv/bigpic/oppo-a58-4g.jpg;;Glowing Black, Dazzling Green;17;1;;
5290;K11;https://fdn2.gsmarena.com/vv/bigpic/oppo-k11-5g.jpg;;"Moonshadow Gray; Glacier Blue";17;1;;
5291;Reno10 Pro;https://fdn2.gsmarena.com/vv/bigpic/oppo-reno10-pro-international.jpg;;Silvery Grey, Glossy Purple;17;1;;
5292;Reno10;https://fdn2.gsmarena.com/vv/bigpic/oppo-reno10-international.jpg;;Silvery Grey, Ice Blue;17;1;;
5293;A78 4G;https://fdn2.gsmarena.com/vv/bigpic/oppo-a78-4g.jpg;;Mist Black, Aqua Green;17;1;;
5294;K11x;https://fdn2.gsmarena.com/vv/bigpic/oppo-k11x.jpg;;Jade Black, Pearl Blue;17;1;;
5295;Reno10 Pro+;https://fdn2.gsmarena.com/vv/bigpic/oppo-reno10-pro-plus.jpg;;Silvery Grey, Glossy Purple, Gold;17;1;;
5296;Reno10 Pro (China);https://fdn2.gsmarena.com/vv/bigpic/oppo-reno10-pro.jpg;;Black, Gold, Blue;17;1;;
5297;Reno10 (China);https://fdn2.gsmarena.com/vv/bigpic/oppo-reno10.jpg;;Black, Gold, Blue;17;1;;
5298;F23;https://fdn2.gsmarena.com/vv/bigpic/oppo-f23-5g.jpg;;;17;1;;
5299;A98;https://fdn2.gsmarena.com/vv/bigpic/oppo-a98-5g.jpg;;;17;1;;
5300;A1;https://fdn2.gsmarena.com/vv/bigpic/oppo-a1-5g-new.jpg;;;17;1;;
5301;A1x;https://fdn2.gsmarena.com/vv/bigpic/oppo-a1x-.jpg;;;17;1;;
5302;Find X6 Pro;https://fdn2.gsmarena.com/vv/bigpic/oppo-find-x6-pro.jpg;;;17;1;;
5303;Find X6;https://fdn2.gsmarena.com/vv/bigpic/oppo-find-x6.jpg;;;17;1;;
5304;Pad 2;https://fdn2.gsmarena.com/vv/bigpic/oppo-pad2-.jpg;;;17;2;;
5305;Reno8 T;https://fdn2.gsmarena.com/vv/bigpic/oppo-reno8-t-4g.jpg;;Black Starlight, Orange Sunset;17;1;;
5306;Reno8 T 5G;https://fdn2.gsmarena.com/vv/bigpic/oppo-reno8-t.jpg;;Black Starlight (Midnight Black), Dawn Gold (Sunrise Gold);17;1;;
5307;A78;https://fdn2.gsmarena.com/vv/bigpic/oppo-a58.jpg;;Glowing Black, Glowing Purple;17;1;;
5308;A56s;https://fdn2.gsmarena.com/vv/bigpic/oppo-a56s.jpg;;Black, Blue;17;1;;
5309;Find N2 Flip;https://fdn2.gsmarena.com/vv/bigpic/oppo-find-n2-flip.jpg;;Astral Black, Moonlit Purple, Gold;17;1;;
5310;Find N2;https://fdn2.gsmarena.com/vv/bigpic/oppo-find-n2-5g.jpg;;Black, Green, White;17;1;;
5311;A58x;https://fdn2.gsmarena.com/vv/bigpic/oppo-a58x.jpg;;Black, Blue, Violet;17;1;;
5312;Reno9 Pro+;https://fdn2.gsmarena.com/vv/bigpic/oppo-reno9-pro-plus.jpg;;Black, Gold, Mint;17;1;;
5313;Reno9 Pro;https://fdn2.gsmarena.com/vv/bigpic/oppo-reno9-pro.jpg;;Black, Gold, Pink gradient;17;1;;
5314;Reno9;https://fdn2.gsmarena.com/vv/bigpic/oppo-reno9.jpg;;Black, Gold, Pink gradient, Red;17;1;;
5315;A1 Pro;https://fdn2.gsmarena.com/vv/bigpic/oppo-a1-pro.jpg;;Black, Blue, Gold;17;1;;
5316;A58;https://fdn2.gsmarena.com/vv/bigpic/oppo-a58.jpg;;Black, Blue, Violet;17;1;;
5317;A17k;https://fdn2.gsmarena.com/vv/bigpic/oppo-a17k.jpg;;Navy Blue, Gold;17;1;;
5318;A77s;https://fdn2.gsmarena.com/vv/bigpic/oppo-a77s.jpg;;Sunset Orange, Starry Black;17;1;;
5319;A17;https://fdn2.gsmarena.com/vv/bigpic/oppo-a17.jpg;;Midnight Black, Lake Blue, Sunlight Orange;17;1;;
