id;name;image;code;colors;brand_id;repair_category_id;status;sort_order
5564;Narzo 60x;https://fdn2.gsmarena.com/vv/bigpic/realme-narzo-60x-5g.jpg;;Stellar Green, Nebula Purple;18;1;;
5565;GT5 240W;https://fdn2.gsmarena.com/vv/bigpic/realme-gt-5-240w.jpg;;Flowing Silver, Starry Oasis;18;1;;
5566;GT5;https://fdn2.gsmarena.com/vv/bigpic/realme-gt5-150w.jpg;;Flowing Silver, Starry Oasis;18;1;;
5567;11x;https://fdn2.gsmarena.com/vv/bigpic/realme-11x-5g.jpg;;Midnight Black, Purple Dawn;18;1;;
5568;11 4G;https://fdn2.gsmarena.com/vv/bigpic/realme-11-4g-.jpg;;Black, Gold;18;1;;
5569;11 5G;https://fdn2.gsmarena.com/vv/bigpic/realme-11-5g-tw.jpg;;Midnight Black (Glory Black), Sunrise Gold (Glory Gold);18;1;;
5570;C51;https://fdn2.gsmarena.com/vv/bigpic/realme-c51.jpg;;Mint Green, Carbon Black;18;1;;
5571;C53 (India);https://fdn2.gsmarena.com/vv/bigpic/realme-c53-india.jpg;;Gold, Black;18;1;;
5572;Pad 2;https://fdn2.gsmarena.com/vv/bigpic/realme-pad2.jpg;;Gray, Green;18;2;;
5573;GT3;https://fdn2.gsmarena.com/vv/bigpic/realme-gt-neo5.jpg;;Pulse White, Booster Black;18;1;;
5574;Narzo 60 Pro;https://fdn2.gsmarena.com/vv/bigpic/realme-narzo60-pro-5g.jpg;;Mars Orange, Cosmic Black;18;1;;
5575;Narzo 60;https://fdn2.gsmarena.com/vv/bigpic/realme-narzo60-5g.jpg;;Mars Orange, Cosmic Black;18;1;;
5576;C53;https://fdn2.gsmarena.com/vv/bigpic/realme-c53.jpg;;Champion Gold, Mighty Black;18;1;;
5577;Narzo N53;https://fdn2.gsmarena.com/vv/bigpic/realme-narzo-n53.jpg;;Black, Gold;18;1;;
5578;11 Pro+;https://fdn2.gsmarena.com/vv/bigpic/realme-11-pro-plus.jpg;;Astral Black, Sunrise Beige, Oasis Green;18;1;;
5579;11 Pro;https://fdn2.gsmarena.com/vv/bigpic/realme-11-pro.jpg;;Astral Black, Sunrise Beige, Oasis Green;18;1;;
5580;11;https://fdn2.gsmarena.com/vv/bigpic/realme-11.jpg;;;18;1;;
5581;Narzo N55;https://fdn2.gsmarena.com/vv/bigpic/realme-narzo-n55.jpg;;;18;1;;
5582;GT Neo5 SE;https://fdn2.gsmarena.com/vv/bigpic/realme-gt-neo5-se.jpg;;;18;1;;
