id;name;image;code;colors;brand_id;repair_category_id;status;sort_order
1;Galaxy F34;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f34.jpg;;Electric Black, Mystic Green;2;1;;
2;Galaxy Z Fold5;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-z-fold5-5g.jpg;;Icy Blue, Phantom Black, Cream, Gray, Blue;2;1;;
3;Galaxy Z Flip5;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-z-flip5-5g.jpg;;Mint, Graphite, Cream, Lavender, Gray, Blue, Green, Yellow;2;1;;
4;Galaxy Tab S9 Ultra;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s9-ultra-5g.jpg;;Beige, Graphite;2;2;;
5;Galaxy Tab S9+;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s9-plus-5g.jpg;;Beige, Graphite;2;2;;
6;Galaxy Tab S9;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-s9-5g.jpg;;Beige, Graphite;2;2;;
7;Galaxy Watch6 Classic;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-watch6-classic.jpg;;Black, Silver;2;3;;
8;Galaxy Watch6;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-watch6.jpg;;Graphite, Silver, Gold;2;3;;
9;Galaxy M34 5G;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m34-5g.jpg;;Midnight Blue, Prism Silver, Waterfall Blue;2;1;;
10;Galaxy F54;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f54-5g.jpg;;Meteor Blue, Stardust Silver;2;1;;
11;Galaxy A24 4G;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a24-4g-2.jpg;;Black, Lime Green, Blue gradient, Dark red;2;1;;
12;Galaxy F14;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f14.jpg;;Black, Green, Purple;2;1;;
13;Galaxy M54;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m54-5g.jpg;;Dark Blue, Silver;2;1;;
14;Galaxy A54;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a54.jpg;;Lime, Graphite, Violet, White;2;1;;
15;Galaxy A34;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a34.jpg;;Lime, Graphite, Violet, Silver;2;1;;
16;Galaxy M14;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m14-5g-sm-m146.jpg;;Navy Blue, Light Blue, Silver;2;1;;
17;Galaxy S23 Ultra;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s23-ultra-5g.jpg;;Phantom Black, Green, Cream, Lavender, Graphite, Sky Blue, Lime, Red, BMW M Edition;2;1;;
18;Galaxy S23+;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s23-plus-5g.jpg;;Phantom Black, Cream, Green, Lavender, Graphite, Lime;2;1;;
19;Galaxy S23;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s23-5g.jpg;;Phantom Black, Cream, Green, Lavender, Graphite, Lime;2;1;;
20;Galaxy A14;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a14-4g.jpg;;Black, Dark Red, Silver, Green;2;1;;
21;Galaxy A14 5G;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a14-5g.jpg;;Black, Light Green, Dark Red, Silver;2;1;;
22;Galaxy F04;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f04-new.jpg;;Jade Purple, Opal Green;2;1;;
23;Galaxy M04;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m04-.jpg;;Sea Glass Green, Shadow Blue;2;1;;
24;Galaxy Tab A7 10.4 (2022);https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-a7-104-2020.jpg;;Dark Gray, Silver, Gold;2;2;;
25;Galaxy A04e;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a04e.jpg;;Black, Copper, Light Blue;2;1;;
26;Galaxy Tab Active4 Pro;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-tab-active4-pro.jpg;;Black;2;2;;
27;Galaxy A04s;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a04s.jpg;;Black, Green, White, Copper;2;1;;
28;Galaxy A04;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a04.jpg;;Black, Green, White, Copper;2;1;;
29;Galaxy Z Fold4;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-z-fold4.jpg;;Graygreen, Phantom Black, Beige, Burgundy;2;1;;
30;Galaxy Z Flip4;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-z-flip4-5g.jpg;;Bora Purple, Graphite, Pink Gold, Blue, Yellow, White, Navy, Khaki, Red;2;1;;
31;Galaxy Watch5 Pro;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-watch5pro.jpg;;Black Titanium, Gray Titanium;2;3;;
32;Galaxy Watch5;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-watch5.jpg;;Graphite, Silver, Pink Gold, Sapphire;2;3;;
33;Galaxy A23 5G;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a23-5g.jpg;;Black, White, Peach, Blue;2;1;;
34;Galaxy M13 5G;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m13-5g.jpg;;Midnight Blue, Aqua Green, Stardust Brown;2;1;;
35;Galaxy M13 (India);https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m13-4g-india.jpg;;Midnight Blue, Aqua Green, Stardust Brown;2;1;;
36;Galaxy A13 (SM-A137);https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a13-a137.jpg;;Black, White, Blue;2;1;;
37;Galaxy Xcover6 Pro;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-xcover6-pro-r.jpg;;Black;2;1;;
38;Galaxy F13;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-f13.jpg;;Waterfall Blue, Sunrise Copper, Nightsky Green;2;1;;
39;Galaxy M13;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m13.jpg;;Deep Green, Orange Copper, Light Blue;2;1;;
40;Galaxy Tab S6 Lite (2022);https://fdn2.gsmarena.com/vv/bigpic/galaxy-tab-s6-lite-2022-lte-sm-p619-.jpg;;Chiffon Pink, Angora Blue, Oxford Gray;2;2;;
41;Galaxy M53;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m53-5g.jpg;;Green, Blue, Brown;2;1;;
42;Galaxy S20 FE 2022;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s20-fe-5g.jpg;;Cloud White, Cloud Lavender, Cloud Navy;2;1;;
43;Galaxy A73 5G;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a73-5g.jpg;;Gray, Mint, White;2;1;;
44;Galaxy A53 5G;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a53-5g-.jpg;;Black, White, Blue, Peach;2;1;;
45;Galaxy A33 5G;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a33-5g.jpg;;Black, White, Blue, Peach;2;1;;
46;Galaxy F23;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m23.jpg;;Aqua Blue, Forest Green;2;1;;
47;Galaxy M33;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m33.jpg;;Green, Blue, Brown;2;1;;
48;Galaxy M23;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-m23.jpg;;Deep Green, Light Blue, Orange Copper;2;1;;
49;Galaxy A23;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a23.jpg;;Black, White, Peach, Blue;2;1;;
50;Galaxy A13;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-a13.jpg;;Black, White, Peach, Blue;2;1;;
51;Galaxy S22 Ultra 5G;https://fdn2.gsmarena.com/vv/bigpic/samsung-galaxy-s22-ultra-5g.jpg;;Phantom Black, White, Burgundy, Green, Graphite, Red, Sky Blue, Bora Purple;2;1;;
