id;name;image;code;colors;brand_id;repair_category_id;status;sort_order
5741;Xperia 5 V;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-5-v-new.jpg;;Black, Blue, Platinum Silver;19;1;;
5742;Xperia 1 V;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-v.jpg;;Black, Khaki Green, Platinum Silver;19;1;;
5743;Xperia 10 V;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-v-10.jpg;;Black, White, Sage Green, Lavender;19;1;;
5744;Xperia 5 IV;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-5-iv-ofic.jpg;;Green, Black, Ecru White;19;1;;
5745;Xperia 1 IV;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-iv-.jpg;;Black, Violet, White;19;1;;
5746;Xperia 10 IV;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-iv.jpg;;Black, White, Mint, Lavender;19;1;;
5747;Xperia Pro-I;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-pro-i.jpg;;Frosted Black;19;1;;
5748;Xperia 10 III Lite;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-iii-lite.jpg;;Black, White, Blue, Pink;19;1;;
5749;Xperia 1 III;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-iii.jpg;;Frosted Black, Frosted Gray, Frosted Purple;19;1;;
5750;Xperia 5 III;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-5-iii.jpg;;Black, Green, Pink;19;1;;
5751;Xperia 10 III;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-iii.jpg;;Black, White, Blue, Pink;19;1;;
5752;Xperia Pro;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-pro-5g.jpg;;Black;19;1;;
5753;Xperia 5 II;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-5-ii-5g-r.jpg;;Black, Grey, Blue, Pink;19;1;;
5754;Xperia 1 II;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1-II-o.jpg;;Black, Purple, Mirror Lake Green;19;1;;
5755;Xperia 10 II;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-II-o.jpg;;;19;1;;
5756;Xperia L4;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-l4.jpg;;;19;1;;
5757;Xperia 5;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-5-.jpg;;;19;1;;
5758;Xperia 1;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-1.jpg;;;19;1;;
5759;Xperia 10 Plus;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-plus-.jpg;;;19;1;;
5760;Xperia 10;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-10-.jpg;;;19;1;;
5761;Xperia L3;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-l3.jpg;;Black, Gold, Silver;19;1;;
5762;Xperia XA2 Plus;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa2-plus-.jpg;;Silver, Black, Gold, Green;19;1;;
5763;Xperia XZ3;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz3-.jpg;;Black, Silver White, Forest Green, Bordeaux Red;19;1;;
5764;Xperia XZ2 Premium;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz2-premium.jpg;;Chrome Black, Chrome Silver;19;1;;
5765;Xperia XZ2;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz2-.jpg;;Liquid Black, Liquid Silver, Deep Green, Ash Pink;19;1;;
5766;Xperia XZ2 Compact;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz2-compact-.jpg;;Black, White Silver, Moss Green, Coral Pink;19;1;;
5767;Xperia XA2 Ultra;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa2-ultra-.jpg;;Silver, Black, Blue, Gold;19;1;;
5768;Xperia XA2;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa2-.jpg;;Silver, Black, Blue, Pink;19;1;;
5769;Xperia L2;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-l2-.jpg;;Black, Gold, Pink;19;1;;
5770;Xperia R1 (Plus);https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-r1.jpg;;Black, Silver;19;1;;
5771;Xperia XZ1;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz1-ofic.jpg;;Black, Warm Silver, Venus Pink, Moonlit Blue;19;1;;
5772;Xperia XA1 Plus;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa1-plus.jpg;;Black, Blue, Pink, Gold;19;1;;
5773;Xperia XZ1 Compact;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz1-compact.jpg;;Black, White Silver, Horizon Blue, Twilight Pink;19;1;;
5774;Xperia L1;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-l1-.jpg;;Black, White, Pink;19;1;;
5775;Xperia XZs;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xzs-2017.jpg;;Black, Warm Silver, Ice Blue;19;1;;
5776;Xperia XZ Premium;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz-premium-2017.jpg;;Luminous Chrome, Deepsea Black, Bronze Pink, Rosso;19;1;;
5777;Xperia XA1 Ultra;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa1-ultra-2017.jpg;;White, Black, Gold, Pink;19;1;;
5778;Xperia XA1;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa1-2017.jpg;;White, Black, Gold, Pink;19;1;;
5779;Xperia X Compact;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-x-compact.jpg;;White, Universe black, Mist blue;19;1;;
5780;Xperia XZ;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xz.jpg;;Mineral black, Platinum, Forest blue, Deep pink;19;1;;
5781;Xperia E5;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-e5r.jpg;;Graphite Black, White;19;1;;
5782;Xperia XA Ultra;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa-ultra.jpg;;White, Graphite Black, Lime Gold;19;1;;
5783;Xperia X Performance;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-x-performance.jpg;;White, Graphite Black, Lime Gold, Rose Gold;19;1;;
5784;Xperia X;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa.jpg;;White, Graphite Black, Lime Gold, Rose Gold;19;1;;
5785;Xperia XA Dual;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa--.jpg;;White, Graphite Black, Lime Gold, Rose Gold;19;1;;
5786;Xperia XA;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-xa--.jpg;;White, Graphite Black, Lime Gold, Rose Gold;19;1;;
5787;Xperia Z5 Premium Dual;https://fdn2.gsmarena.com/vv/bigpic/sony-z5-premium-.jpg;;Chrome, Black, Gold;19;1;;
5788;Xperia Z5 Premium;https://fdn2.gsmarena.com/vv/bigpic/sony-z5-premium-.jpg;;Chrome, Black, Gold, Pink;19;1;;
5789;Xperia Z5 Dual;https://fdn2.gsmarena.com/vv/bigpic/sony-z5-.jpg;;White, Graphite Black, Gold, Green;19;1;;
5790;Xperia Z5;https://fdn2.gsmarena.com/vv/bigpic/sony-z5-.jpg;;White, Graphite Black, Gold, Green, Pink;19;1;;
5791;Xperia Z5 Compact;https://fdn2.gsmarena.com/vv/bigpic/sony-z5-compact-.jpg;;White, Graphite Black, Yellow, Coral;19;1;;
5792;Xperia M5 Dual;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-m5.jpg;;Black, White, Gold;19;1;;
5793;Xperia M5;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-m5.jpg;;Black, White, Gold;19;1;;
5794;Xperia C5 Ultra Dual;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-c5-ultra.jpg;;Black, White, Mint;19;1;;
5795;Xperia C5 Ultra;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-c5-ultra.jpg;;Black, White, Mint;19;1;;
5796;Xperia Z4v;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z4v-.jpg;;White, black;19;1;;
5797;Xperia Z3+ dual;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z4.jpg;;White, black, copper, aqua green;19;1;;
5798;Xperia Z3+;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z4.jpg;;White, black, copper, aqua green;19;1;;
5799;Xperia C4 Dual;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-c4-new.jpg;;Black, White, Mint;19;1;;
5800;Xperia C4;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-c4-new.jpg;;Black, White, Mint;19;1;;
5801;Xperia M4 Aqua Dual;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-m4-aqua.jpg;;Black, White, Coral, Silver;19;1;;
5802;Xperia M4 Aqua;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-m4-aqua.jpg;;Black, White, Coral, Silver;19;1;;
5803;Xperia Z4 Tablet WiFi;https://fdn2.gsmarena.com/vv/bigpic/-sony-xperia-z4-tablet.jpg;;Black, White;19;2;;
5804;Xperia Z4 Tablet LTE;https://fdn2.gsmarena.com/vv/bigpic/-sony-xperia-z4-tablet.jpg;;Black, White;19;2;;
5805;Xperia E4g;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-e4g.jpg;;Black, White;19;1;;
5806;Xperia E4g Dual;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-e4g.jpg;;Black, White;19;1;;
5807;Xperia E4 Dual;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-e4.jpg;;Black, White;19;1;;
5808;Xperia E4;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-e4.jpg;;Black, White;19;1;;
5809;Xperia E3 Dual;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-e3-dual.jpg;;Black, White, Yellow, Copper;19;1;;
5810;Xperia E3;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-e3-dual.jpg;;Black, White, Yellow, Copper;19;1;;
5811;Xperia Z3 Tablet Compact;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z3-tablet-compact.jpg;;Black, White;19;2;;
5812;Xperia Z3 Dual;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z3.jpg;;Black, White, Copper, Silver Green;19;1;;
5813;Xperia Z3v;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z3v.jpg;;Black, White;19;1;;
5814;Xperia Z3;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z3.jpg;;Black, White, Copper, Silver Green, Purple;19;1;;
5815;Xperia M2 Aqua;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-m2.jpg;;Black, White, Copper;19;1;;
5816;Xperia Z3 Compact;https://fdn2.gsmarena.com/vv/bigpic/sony-xperia-z3-compact.jpg;;Black, White, Green, Orange;19;1;;
