id;name;image;code;colors;brand_id;repair_category_id;status;sort_order
5899;Redmi Pad SE;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-pad-se.jpg;;Lavender Purple, Graphite Gray, Mint Green;20;2;;
5900;Redmi K60 Ultra;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-k60-ultra.jpg;;Black, White, Green;20;1;;
5901;Mix Fold 3;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-mix-fold3-.jpg;;Black, Gold;20;1;;
5902;Pad 6 Max 14;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-pad-6-max-14.jpg;;Black, Silver;20;2;;
5903;Poco M6 Pro;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-poco-m6-pro.jpg;;Power Black, Forest Green;20;1;;
5904;Redmi Watch 3 Active;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-watch-3-active.jpg;;Black, Gray;20;3;;
5905;Redmi 12 5G;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-12-5g-.jpg;;Jade Black, Pastel Blue, Moonstone Silver;20;1;;
5906;Redmi Note 12R;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-note-12r.jpg;;Black, Blue, Silver;20;1;;
5907;Redmi Note 12R Pro;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-note-12r-pro-.jpg;;Black, White, Gold;20;1;;
5908;Redmi 12;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-12-.jpg;;Midnight Black, Sky Blue, Polar Silver, Moonstone Silver;20;1;;
5909;Redmi Note 12T Pro;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-note-12t-pro.jpg;;Blue, White, Black;20;1;;
5910;Civi 3;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-civi-3.jpg;;Purple, Mint, Gold, Gray;20;1;;
5911;Poco F5 Pro;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-poco-f5-pro-2.jpg;;Black, White;20;1;;
5912;Poco F5;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-poco-f5-2.jpg;;Black, Blue, White;20;1;;
5913;13 Ultra;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-13-ultra.jpg;;Black, Olive Green, White, Orange, Yellow, Blue;20;1;;
5914;Pad 6 Pro;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-pad6-pro.jpg;;Black, Blue, Gold;20;2;;
5915;Pad 6;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-pad6.jpg;;Black, Blue, Gold;20;2;;
5916;Poco C51;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-poco-c51.jpg;;Power Black, Royal Blue;20;1;;
5917;Redmi Note 12S;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-note-12s.jpg;;Onyx Black, Ice Blue, Pearl Green;20;1;;
5918;Redmi Note 12 Pro 4G;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-note-12-pro-4g.jpg;;Star Blue, Graphite Gray, Polar White, Ice blue;20;1;;
5919;Redmi Note 12 Turbo;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-note-12-turbo.jpg;;Black, Blue, White, Harry Potter Edition;20;1;;
5920;Redmi A2+;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-a2-plus.jpg;;Aqua Blue, Classic Black, Sea Green;20;1;;
5921;Redmi A2;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-redmi-a2-.jpg;;Aqua Blue, Classic Black, Sea Green;20;1;;
5922;Redmi Note 12 4G;https://fdn2.gsmarena.com/vv/bigpic/redmi-note-12-4g.jpg;;Onyx Gray, Mint Green, Ice Blue;20;1;;
5923;13 Pro;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-13-pro-black.jpg;;Ceramic White, Ceramic Black, Ceramic Flora Green, Mountain Blue;20;1;;
5924;13;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-13-red.jpg;;White, Black, Flora Green, Mountain Blue, Red, Blue, Yellow, Green, Gray;20;1;;
5925;13 Lite;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-13-lite.jpg;;Black, Lite Blue, Lite Pink;20;1;;
5926;Poco C55;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-poco-c55.jpg;;Cool Blue, Power Black, Forest Green;20;1;;
5927;Poco X5 Pro;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-poco-x5-pro-5g.jpg;;Astral Black, Horizon Blue, Poco Yellow;20;1;;
5928;Poco X5;https://fdn2.gsmarena.com/vv/bigpic/xiaomi-poco-x5-5g.jpg;;Jaguar Black, Wildcat Blue, Supernova Green;20;1;;
5929;Redmi Note 12;https://fdn2.gsmarena.com/vv/bigpic/redmi-note-12-5g-international.jpg;;Frosted Green, Matte Black, Mystique Blue;20;1;;
